luna	date	age	sex	hand
10589	20081101	18.09	F	R
10589	20100525	19.66	F	R
10589	20111121	21.15	F	R
10708	20090723	18.14	F	R
10708	20110803	20.17	F	R
10768	20091202	18.33	F	R
10768	20121212	21.36	F	R
10712	20090720	18.72	F	R
10675	20090519	18.31	F	R
10707	20090713	18.6	F	R
10601	20080821	20.43	F	R
10625	20090226	18.96	M	R
10689	20090611	18.17	M	R
10689	20110310	19.92	M	R
10689	20120919	21.45	M	R
10587	20080812	26.64	M	R
10623	20090113	18.8	F	R
10623	20120111	21.79	F	R
10406	20090216	15.59	M	R
10406	20100828	17.12	M	R
10406	20120524	18.86	M	R
10637	20090307	11.71	M	R
10637	20100828	13.19	M	R
10637	20121112	15.39	M	R
10758	20091031	17.96	F	R
10758	20110614	19.58	F	R
10758	20121009	20.9	F	R
10758	20121009	20.9	F	R
10572	20090303	18.93	M	R
10572	20110112	20.79	M	R
10572	20120514	22.12	M	R
10599	20090124	11.41	M	R
10599	20100726	12.91	M	R
10599	20130930	16.09	M	R
10807	20100412	11.28	F	R
10778	20100326	13.44	M	U
10672	20090606	14.85	M	R
10672	20131025	19.24	M	R
10181	20090604	15.56	M	U
10181	20101124	17.03	M	U
10181	20130129	19.21	M	U
11160	20130521	24.93	F	U
10661	20090507	14.57	M	R
10661	20110325	16.45	M	R
10661	20120406	17.49	M	R
10662	20090507	11.53	M	R
10662	20101123	13.08	M	R
10662	20120406	14.45	M	R
10841	20100820	18.65	M	U
10841	20120618	20.48	M	U
10839	20100821	16.67	M	U
10839	20120213	18.15	M	U
10839	20130916	19.74	M	U
11230	20131127	23.43	F	U
10879	20110331	16.29	M	L
10879	20121110	17.91	M	L
10607	20080930	17.09	M	R
10804	20100525	13.65	F	L
10804	20111203	15.17	F	L
10667	20090722	17.45	M	R
10667	20110415	19.18	M	R
10667	20120907	20.58	M	R
10665	20090417	13.53	M	R
10665	20101215	15.2	M	R
10665	20120611	16.68	M	R
10850	20101115	13.81	M	R
10850	20121214	15.89	M	R
10850	20140204	17.03	M	R
10849	20101115	16.94	M	L
10849	20120813	18.68	M	L
10849	20140102	20.07	M	L
10626	20090214	12.65	F	R
10626	20100916	14.24	F	R
10626	20121008	16.3	F	R
10772	20091224	11.03	M	R
10772	20120503	13.38	M	R
11113	20130117	21.76	M	U
10790	20100409	11.15	F	U
10790	20131014	14.67	F	U
10822	20100622	10.13	F	R
10822	20120229	11.82	F	R
10822	20130812	13.27	F	R
10796	20100520	15.88	F	U
10796	20120220	17.64	F	U
10796	20130325	18.73	F	U
10797	20100405	14.63	F	R
10797	20111128	16.28	F	R
10797	20130524	17.77	F	R
10836	20100722	13.38	F	R
10644	20090323	10.57	F	R
10644	20101111	12.21	F	R
10644	20120516	13.72	F	R
10767	20091216	10.79	F	L
10767	20110523	12.22	F	L
10767	20131207	14.77	F	L
10776	20100327	13.03	M	R
10653	20090401	14.15	M	R
10653	20101001	15.65	M	R
10653	20121205	17.83	M	R
10654	20090408	15.92	M	R
10654	20100920	17.37	M	R
10654	20120430	18.98	M	R
10802	20100326	18.54	M	R
10802	20130528	21.72	M	R
10703	20090710	15.15	F	R
10703	20110118	16.68	F	R
10703	20120726	18.2	F	R
10773	20100102	12.71	M	R
10773	20110709	14.22	M	R
10773	20130228	15.87	M	R
10747	20090901	12.91	M	R
10747	20110514	14.61	M	R
10747	20120828	15.9	M	R
10451	20080913	16.6	F	U
10680	20090619	15.69	F	R
10680	20101222	17.2	F	R
10680	20120615	18.68	F	R
10152	20081004	15.4	F	R
10152	20100514	17.01	F	R
10152	20111123	18.54	F	R
10872	20110113	18.86	M	R
10872	20120927	20.57	M	R
10872	20131202	21.75	M	R
10749	20090901	11.12	M	R
10749	20110616	12.91	M	R
10749	20130910	15.15	M	R
10699	20090810	15.41	F	R
10699	20110226	16.96	F	R
10699	20120915	18.51	F	R
10156	20080922	15.69	M	R
10156	20100313	17.16	M	R
10156	20110923	18.69	M	R
10638	20090312	11.06	M	U
10638	20100809	12.47	M	U
10638	20120216	13.99	M	U
10808	20100501	16.74	F	U
10808	20120629	18.91	F	U
10808	20130709	19.93	F	U
10880	20110407	10.53	M	R
10880	20120926	12	M	R
10880	20140311	13.46	M	R
10814	20100524	12.16	F	U
10814	20120208	13.87	F	U
10814	20130731	15.35	F	U
10780	20100331	12.41	M	R
10780	20110823	13.81	M	R
10780	20130625	15.65	M	R
10709	20090723	17.86	F	R
10709	20110803	19.89	F	R
10636	20090307	13.87	F	R
10636	20100828	15.35	F	R
10636	20131125	18.59	F	R
10779	20100218	11.77	F	R
10812	20100508	13.94	M	U
10812	20111206	15.52	M	U
10812	20140109	17.61	M	U
10842	20100823	15.04	M	U
10783	20100330	10.75	F	U
10869	20110120	15.6	F	R
10869	20121005	17.31	F	R
10774	20100102	13.68	M	U
10774	20110709	15.2	M	U
10774	20130228	16.84	M	U
10806	20100421	10.46	M	R
10806	20111230	12.15	M	R
10871	20110103	11.97	M	R
10871	20121117	13.84	M	R
10173	20080913	16.09	F	R
10173	20100313	17.58	F	R
10173	20110820	19.02	F	R
10873	20110209	14.22	M	R
10873	20120807	15.71	M	R
10873	20140217	17.24	M	R
10851	20101207	18.11	F	U
10851	20120921	19.9	F	U
10851	20131113	21.05	F	U
10798	20100518	12.23	F	U
10798	20111215	13.81	F	U
10798	20131007	15.62	F	U
10134	20080911	25.55	F	R
10805	20100412	18.86	M	U
10805	20111103	20.42	M	U
10805	20130508	21.93	M	U
10766	20091201	18.9	F	R
10766	20110915	20.69	F	R
10766	20130130	22.07	F	R
11145	20130313	20.91	M	U
11185	20130627	25.02	M	R
11215	20131030	22.77	M	R
11245	20140207	23.62	F	U
11265	20140314	24.22	F	U
11275	20140422	27.27	M	U
10128	20080925	20.78	M	R
10153	20081004	13.33	F	R
10153	20100604	14.99	F	R
10153	20111128	16.47	F	R
10431	20081101	23.65	F	U
10606	20080923	22.85	F	R
10666	20090722	13.97	M	R
10666	20110425	15.73	M	R
10677	20090606	14.84	F	R
10677	20110604	16.83	F	R
10677	20120803	18	F	R
10800	20100424	11.76	F	R
10820	20100622	13.85	F	R
10820	20121025	16.2	F	R
10840	20100821	15.07	M	U
10840	20120207	16.53	M	U
10875	20110402	18.32	F	U
11094	20121221	22.4	M	U
11157	20130501	23.34	M	U
11167	20130628	22.61	M	U
11187	20130802	23.49	M	R
11197	20130909	21.08	F	U
11227	20131213	21.45	F	U
11237	20131220	25.44	F	R
11257	20140306	24.26	F	U
11267	20140401	24.82	M	U
10558	20080923	20.07	F	U
10574	20080930	23.62	M	R
10585	20080918	16.86	M	R
10585	20100415	18.43	M	R
10585	20120822	20.78	M	R
10608	20081006	17.53	M	R
10608	20100615	19.22	M	R
10608	20111122	20.66	M	R
10655	20090408	15.78	M	R
10852	20101213	18.95	F	R
10852	20120924	20.73	F	R
10852	20140207	22.1	F	R
10877	20110212	15.97	M	R
11055	20121102	21.91	F	U
11065	20121107	25.03	M	U
11075	20130416	25.72	M	U
11106	20130109	21.52	F	U
11137	20130329	21.96	M	U
11149	20130403	23.62	M	U
11219	20131115	21.7	M	R
11239	20131231	22.61	F	R
11249	20140220	23.4	F	R
11259	20140313	25.6	F	R
10565	20081028	17.56	M	R
10565	20100624	19.21	M	R
10565	20120107	20.75	M	R
10627	20090214	14.85	F	R
10627	20101123	16.62	F	R
10627	20121219	18.69	F	R
10671	20090606	12.47	F	R
10671	20110205	14.13	F	R
10697	20090620	17.13	F	R
10697	20110217	18.79	F	R
10697	20120803	20.25	F	R
10710	20090720	17.44	F	R
10761	20091120	18.39	F	R
10761	20110519	19.88	F	R
10761	20121001	21.25	F	R
10824	20100723	12.3	M	R
10824	20111108	13.59	M	R
10824	20131002	15.49	M	R
11087	20121204	22.68	M	U
11129	20130320	20.39	F	U
11191	20130710	24.28	M	U
11211	20131016	21.2	F	U
11221	20131031	23.26	F	U
11241	20140204	24.84	M	R
11251	20140227	25.94	M	U
11261	20140318	25.17	M	U
11271	20140402	20.82	M	U
10529	20081105	16.32	F	R
10567	20090114	18.72	M	R
10567	20100810	20.29	M	R
10567	20130503	23.02	M	R
10616	20081122	14.81	F	R
10616	20100624	16.4	F	R
10616	20120130	18	F	R
10629	20090203	18.9	M	R
10629	20100929	20.55	M	R
10629	20120317	22.02	M	R
10647	20090404	12.97	M	R
10673	20090519	17.46	M	R
10673	20110221	19.22	M	R
10673	20120821	20.72	M	R
10700	20090826	14.89	F	R
10700	20110317	16.44	F	R
10700	20120831	17.9	F	R
10826	20100726	13.05	F	U
10826	20120911	15.18	F	U
10826	20140414	16.76	F	U
10881	20110520	16.76	F	U
10881	20121210	18.32	F	U
11059	20121022	21.4	F	U
11141	20130308	20.32	F	U
11273	20140410	25.28	F	R
11284	20140429	23.81	M	U
10300	20081112	13.11	M	R
10300	20100702	14.75	M	R
10300	20111201	16.16	M	R
10604	20080913	17.03	F	R
10604	20100313	18.52	F	R
10604	20120121	20.38	F	R
10633	20090228	15.65	F	R
10664	20090417	17.91	F	L
10686	20090821	16.1	F	R
10716	20090807	13.31	F	R
10765	20091116	18.49	F	R
10765	20110912	20.31	F	R
10765	20121024	21.43	F	R
10777	20100125	10.93	F	U
10787	20100519	11.69	M	U
10818	20100626	10.88	F	U
10818	20120714	12.93	F	U
10888	20110608	13.14	F	L
10959	20130815	24.33	M	U
11123	20130211	20.65	F	U
11133	20130222	22.18	M	U
11146	20130314	20.78	F	U
11156	20130426	22.37	F	U
11176	20130703	25.74	F	U
11226	20131114	20.7	F	U
11266	20140321	21.62	M	U
10584	20080729	22.17	F	R
10594	20080912	23.55	M	R
10678	20090606	16.16	M	R
10678	20101218	17.69	M	R
10678	20121219	19.7	M	R
10757	20091028	16.28	F	R
10757	20091124	16.36	F	R
10757	20110601	17.88	F	R
10757	20121218	19.43	F	R
10801	20100426	17.84	F	U
10811	20100410	11.7	M	R
10811	20111116	13.3	M	R
10811	20140417	15.72	M	R
10821	20100625	10.16	F	R
10821	20120321	11.9	F	R
11074	20121130	22.07	F	R
11084	20121213	21.48	F	U
11148	20130328	21.84	F	U
11168	20130613	23.8	M	U
11178	20131111	25.73	F	U
11198	20130812	25.72	F	U
11218	20131015	22.44	F	U
11228	20131212	20.75	M	U
11248	20140221	23.19	F	U
11268	20140328	22.06	F	U
11278	20140407	28.82	M	U
10656	20090410	18.07	F	R
10696	20090629	15.56	F	R
10760	20091031	12.12	F	R
10760	20110513	13.65	F	R
10760	20121030	15.12	F	R
10782	20100323	18.86	M	U
10803	20100414	18.81	M	R
10813	20100422	12.51	F	L
10813	20120106	14.22	F	L
10823	20100723	10.13	F	R
10843	20100816	10.92	F	R
10843	20120406	12.56	F	R
11056	20121023	20.62	M	U
11066	20121109	22.15	F	U
11220	20131101	22.52	M	U
11270	20140328	21.6	M	U
10385	20081111	20.45	F	R
10466	20100102	10.49	M	R
10466	20110910	12.17	M	R
10466	20130923	14.21	M	R
10483	20081029	16.25	M	U
10628	20090214	10.76	M	R
10646	20090410	10.11	M	R
10711	20090716	13.21	M	L
10711	20110126	14.74	M	L
10711	20121108	16.52	M	L
10745	20090909	17.49	M	R
10762	20091130	18.57	F	R
10762	20110907	20.33	F	R
10784	20100331	12.35	F	U
10845	20100924	13.84	F	R
10845	20120809	15.72	F	R
10870	20110107	18.9	F	R
11058	20121109	21.74	M	U
11078	20121114	22.04	M	U
11130	20130218	23.71	F	U
11140	20130415	24.03	F	U
11152	20130501	22.09	F	U
11162	20130521	25.17	M	U
11212	20130913	21.61	F	U
11232	20140117	20.69	F	R
11242	20140124	25.13	M	U
11272	20140408	26.81	F	U
10315	20080924	20.11	M	R
10568	20090112	18.48	M	R
10568	20100619	19.91	M	R
10568	20120110	21.47	M	R
10590	20080815	15.92	M	R
10632	20090228	13.95	F	U
10648	20100603	11.75	F	R
10674	20090519	14.24	M	R
10701	20090804	11.24	M	R
10701	20110323	12.88	M	R
10701	20120906	14.34	M	R
10713	20090725	15.91	M	R
10713	20110212	17.46	M	R
10786	20100319	18.88	M	R
10786	20111201	20.59	M	R
10786	20131209	22.61	M	R
10817	20100515	16.05	M	R
10817	20111220	17.65	M	R
10827	20100726	13.05	M	R
10847	20101016	14.77	F	R
10847	20120616	16.44	F	R
10847	20131005	17.74	F	R
10887	20110531	15.3	M	R
10887	20121107	16.74	M	R
11070	20121116	22.2	F	U
11224	20131107	23.16	M	U
11234	20140110	20.48	F	U
11244	20140211	24.67	F	R
11254	20140228	23.64	F	R
10605	20080925	22.91	F	R
10635	20090210	18.85	F	R
10652	20090410	12.88	M	R
10652	20101016	14.39	M	R
10676	20090521	17.23	M	R
10717	20090810	10.72	F	R
10717	20110226	12.27	F	R
10717	20120915	13.82	F	R
10788	20100326	18.74	M	U
10788	20111217	20.47	M	U
10809	20100607	10.95	M	U
10809	20120405	12.78	M	U
10809	20131111	14.38	M	U
10874	20110119	16.21	F	R
11062	20121102	20.67	F	U
11082	20121130	21.68	M	R
11114	20130124	25.13	F	U
